iter	F1	Logloss
0	0.6193131868	0.6899434764
1	0.6190814624	0.6871073084
2	0.6381782019	0.6850616467
3	0.6522469096	0.6830169196
4	0.662571208	0.6817149362
5	0.6696743575	0.6806957185
6	0.671407586	0.6795562168
7	0.6716774062	0.6785546013
8	0.6730555441	0.6775011714
9	0.6738795247	0.6767368495
10	0.6745316784	0.6762971144
11	0.6788021673	0.6755599015
12	0.6797399347	0.6747447452
13	0.6797197983	0.6741746146
14	0.6816637773	0.6735400461
15	0.6885651981	0.6727995823
16	0.6897385459	0.6719856289
17	0.6934596297	0.6713991098
18	0.6937714802	0.6707225022
19	0.6968321096	0.6701220036
20	0.6966247819	0.6694928385
21	0.70180561	0.6687899719
22	0.7017862009	0.6677241366
23	0.7016504171	0.6675713781
24	0.7067179987	0.666931202
25	0.7070945625	0.6665232886
26	0.712131896	0.6657153055
27	0.7130296943	0.6649780013
28	0.7104904089	0.6643590825
29	0.7133953386	0.6639599479
30	0.7169704719	0.6633763675
31	0.7179480835	0.6628579828
32	0.7176172281	0.6619278631
33	0.7185300413	0.6611856883
34	0.717102923	0.66058446
35	0.7211388669	0.6597600451
36	0.7225903086	0.6592876376
37	0.7245412565	0.6583546471
38	0.7264756498	0.6578493009
39	0.7286109373	0.6572074215
40	0.7281341372	0.6567078459
41	0.7335562484	0.6560869884
42	0.7319754387	0.6556515971
43	0.7331605807	0.6552165948
44	0.7344510191	0.654673628
45	0.7396181289	0.6540317503
46	0.7368141416	0.6534770054
47	0.7378292414	0.6527739323
48	0.7398080904	0.6521255921
49	0.7400596893	0.6517670166
50	0.7409450805	0.6513521908
51	0.7426210345	0.6510093475
52	0.7427885498	0.650651136
53	0.7447012232	0.6501023775
54	0.7443105429	0.649838096
55	0.7468287153	0.6489796852
56	0.747342774	0.6482989227
57	0.7489993466	0.6477737485
58	0.7498574903	0.6472604427
59	0.7516872315	0.6467054718
60	0.7511174719	0.646196504
