iter	Passed	Remaining
0	144	72084
1	149	37173
2	152	25187
3	156	19387
4	158	15734
5	163	13455
6	168	11839
7	172	10626
8	177	9710
9	182	8943
10	185	8243
11	189	7714
12	194	7279
13	198	6882
14	202	6550
15	206	6251
16	211	5998
17	214	5752
18	218	5536
19	222	5349
20	227	5185
21	231	5030
22	235	4888
23	238	4726
24	242	4609
25	246	4495
26	250	4394
27	255	4304
28	259	4215
29	263	4127
30	267	4050
31	272	3979
32	276	3907
33	289	3963
34	293	3898
35	297	3838
36	301	3778
37	306	3723
38	310	3671
39	317	3646
40	321	3602
41	325	3552
42	329	3501
43	333	3454
44	337	3414
45	341	3369
46	345	3327
47	349	3286
48	352	3247
49	356	3209
50	360	3172
51	364	3137
52	368	3104
53	372	3072
54	376	3042
55	380	3014
56	384	2986
57	388	2959
58	392	2932
59	396	2906
60	400	2881
